time_start,pair_id,time_end,group,work_type_id,flow_type_id,flow_id,subject,subject_id,type,work_type,teacher_name,teacher_id,format,building,room
10:00,2597227597,11:30,Прогр. 2,1,2,34064,Программирование,26245,Лекции,Лекции,Письмак Алексей Евгеньевич,160739,Очно - дистанционный ,ул.Ломоносова\, д.9\, лит. М,Актовый зал (1216/0 (усл))
13:30,2586987085,15:00,ИНФОРМ 3.9,2,2,35185,Информатика,25416,Лабораторные занятия,Лабораторные занятия,Малышева Татьяна Алексеевна,165275,Очно - дистанционный ,Кронверкский пр.\, д.49\, лит.А,2117
15:20,2586987427,16:50,ИНФОРМ 3.9,2,2,35185,Информатика,25416,Лабораторные занятия,Лабораторные занятия,Малышева Татьяна Алексеевна,165275,Очно - дистанционный ,Кронверкский пр.\, д.49\, лит.А,2117
